Feel free to place comments here.


!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!! Warning:  This is a KLT data file.  Do not modify below this line !!!

------------------------------
KLT Feature Table
------------------------------

nFrames = 2, nFeatures = 7000

feature |          frame
        |                   0                   1
--------+-----------------------------------------
    270 | (321.0,717.0)= 1109 (317.3,671.5)=    0 
    271 | (877.0,735.0)= 1108 (936.3,723.7)=    0 
    272 | (970.0,232.0)= 1105 ( -1.0, -1.0)=   -5 
    273 | (422.0,569.0)= 1104 (429.2,587.3)=    0 
    274 | ( 20.0, 79.0)= 1101 ( -1.0, -1.0)=   -3 
    275 | (172.0,290.0)= 1099 ( -1.0, -1.0)=   -3 
    276 | (846.0,267.0)= 1099 ( -1.0, -1.0)=   -5 
    277 | (886.0,584.0)= 1098 ( -1.0, -1.0)=   -5 
    278 | (587.0, 30.0)= 1098 ( -1.0, -1.0)=   -5 
    279 | (753.0,439.0)= 1091 ( -1.0, -1.0)=   -5 
    280 | (753.0,609.0)= 1088 (764.3,604.7)=    0 
    281 | (267.0, 49.0)= 1084 ( -1.0, -1.0)=   -5 
    282 | (536.0,973.0)= 1081 (537.7,972.9)=    0 
    283 | (840.0,729.0)= 1080 ( -1.0, -1.0)=   -3 
    284 | (952.0,726.0)= 1080 ( -1.0, -1.0)=   -5 
    285 | (897.0,883.0)= 1076 ( -1.0, -1.0)=   -3 
    286 | ( 39.0,169.0)= 1075 ( 39.9,159.8)=    0 
    287 | (940.0,528.0)= 1071 (908.3,492.3)=    0 
    288 | (188.0,477.0)= 1064 ( -1.0, -1.0)=   -5 
    289 | (893.0,594.0)= 1063 ( -1.0, -1.0)=   -5 
    290 | (948.0,194.0)= 1062 ( -1.0, -1.0)=   -3 
    291 | (859.0,796.0)= 1062 ( -1.0, -1.0)=   -3 
    292 | (996.0,466.0)= 1060 (1000.4,454.4)=    0 
    293 | (784.0,718.0)= 1058 (806.1,726.3)=    0 
